timestamp,round,operation,latency_ms,status
2026-03-27T14:56:39.222828+00:00,0,webhook_uplink,56.43,success
2026-03-27T14:56:39.283253+00:00,0,webhook_uplink,60.41,success
2026-03-27T14:56:39.284720+00:00,0,webhook_uplink,1.45,success
2026-03-27T14:56:39.879043+00:00,0,aggregator_flush,594.31,success
2026-03-27T14:56:41.955439+00:00,0,compute_trust,75.26,success
2026-03-27T14:56:42.005222+00:00,0,query_trust,49.74,success
2026-03-27T14:56:42.071069+00:00,0,compute_trust,65.8,success
2026-03-27T14:56:42.118790+00:00,0,query_trust,47.68,success
2026-03-27T14:56:42.176825+00:00,0,compute_trust,57.99,success
2026-03-27T14:56:42.226178+00:00,0,query_trust,49.31,success
2026-03-27T14:56:42.282188+00:00,0,compute_trust,55.96,success
2026-03-27T14:56:42.329789+00:00,0,query_trust,47.56,success
2026-03-27T14:56:42.390325+00:00,0,compute_trust,60.49,success
2026-03-27T14:56:42.440603+00:00,0,query_trust,50.24,success
2026-03-27T14:56:42.502026+00:00,0,compute_trust,61.37,success
2026-03-27T14:56:42.554418+00:00,0,query_trust,52.35,success
2026-03-27T14:56:42.614292+00:00,0,compute_trust,59.83,success
2026-03-27T14:56:42.666263+00:00,0,query_trust,51.92,success
2026-03-27T14:56:42.731696+00:00,0,compute_trust,65.39,success
2026-03-27T14:56:42.783183+00:00,0,query_trust,51.44,success
2026-03-27T14:56:42.838302+00:00,0,query_billing,55.06,success
2026-03-27T14:56:42.887290+00:00,0,query_billing,48.94,success
2026-03-27T14:56:42.952705+00:00,1,webhook_uplink,64.62,success
2026-03-27T14:56:42.954412+00:00,1,webhook_uplink,1.69,success
2026-03-27T14:56:43.022362+00:00,1,webhook_uplink,67.93,success
2026-03-27T14:56:43.025168+00:00,1,webhook_uplink,2.78,success
2026-03-27T14:56:43.027362+00:00,1,webhook_uplink,2.18,success
2026-03-27T14:56:43.084521+00:00,1,webhook_uplink,57.15,success
2026-03-27T14:56:43.086246+00:00,1,webhook_uplink,1.7,success
2026-03-27T14:56:43.087587+00:00,1,webhook_uplink,1.33,success
2026-03-27T14:56:43.142978+00:00,1,webhook_uplink,55.37,success
2026-03-27T14:56:43.144557+00:00,1,webhook_uplink,1.55,success
2026-03-27T14:56:43.206966+00:00,1,webhook_uplink,62.4,success
2026-03-27T14:56:43.267730+00:00,1,webhook_uplink,60.74,success
2026-03-27T14:56:43.269320+00:00,1,webhook_uplink,1.57,success
2026-03-27T14:56:43.332516+00:00,1,webhook_uplink,63.18,success
